#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"FileCoAuth","1","222","158801920","8835072","4202496","15288","C:\Users\ambatikalyan.NAGARRO\AppData\Local\Microsoft\OneDrive\21.083.0425.0003\FileCoAuth.exe","Microsoft Corporation","2","21.083.0425.0003","21.083.0425.0003","Microsoft OneDriveFile Co-Authoring Executable","Microsoft OneDrive","Process","8",,"False",,"7080","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","2116",".","0","","System.Diagnostics.ProcessModule (FileCoAuth.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15288","15288","4202496","4202496","174728","174728","4472832","4472832","16224256","16224256","163016704","163016704","True","Normal","4202496","4202496","00:00:01.0312500","FileCoAuth","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:48:14",,"System.Diagnostics.ProcessThreadCollection","00:00:02","00:00:00.9687500","158801920","158801920","False",,,,"8835072","8835072",,
"fodhelper","0","122","2203390771200","3256320","1466368","7880","C:\WINDOWS\System32\FodHelper.exe","Microsoft Corporation","0.046875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Features On Demand Helper","Microsoft? Windows? Operating System","Process","8",,"False",,"7100","Microsoft.Win32.SafeHandles.SafeProcessHandle","122","10868",".","0","","System.Diagnostics.ProcessModule (FodHelper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7880","7880","1466368","1466368","75896","75896","1613824","1613824","7610368","7610368","76218368","2203394441216","True","Normal","1466368","1466368","00:00:00.0312500","fodhelper","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:31:26",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0156250","72548352","2203390771200","False",,,,"3256320","3256320",,
"fontdrvhost","1","32","2203555348480","12349440","5726208","9512","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","18.5625","10.0.19041.906 (WinBuild.160101.0800)","10.0.19041.906","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6568","Microsoft.Win32.SafeHandles.SafeProcessHandle","32","1056",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9512","9512","5726208","5726208","335208","335208","11538432","11538432","23707648","23707648","390115328","2203708338176","True","Normal","5726208","5726208","00:00:11.8281250","fontdrvhost","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:24",,"System.Diagnostics.ProcessThreadCollection","00:00:18.5625000","00:00:06.7343750","237125632","2203555348480","False",,,,"12349440","12349440",,
"fontdrvhost","0","32","2203389636608","688128","1810432","5568","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","0.09375","10.0.19041.906 (WinBuild.160101.0800)","10.0.19041.906","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6424","Microsoft.Win32.SafeHandles.SafeProcessHandle","32","1060",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5568","5568","1810432","1810432","42272","42272","1847296","1847296","4235264","4235264","71938048","2203390160896","True","Normal","1810432","1810432","00:00:00.0625000","fontdrvhost","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:24",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0312500","71413760","2203389636608","False",,,,"688128","688128",,
"GoogleCrashHandler","0","171","49545216","1482752","1646592","10616","C:\Program Files (x86)\Google\Update\1.3.36.82\GoogleCrashHandler.exe","Google LLC","0.109375","1.3.36.81","1.3.36.81","Google Crash Handler","Google Update","Process","4",,"False",,"7112","Microsoft.Win32.SafeHandles.SafeProcessHandle","171","9088",".","0","","System.Diagnostics.ProcessModule (GoogleCrashHandler.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10616","10616","1646592","1646592","96664","96664","1843200","1843200","7659520","7659520","53366784","53366784","True","Idle","1646592","1646592","00:00:00.0937500","GoogleCrashHandler","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:02",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0156250","49545216","49545216","False",,,,"1482752","1482752",,
"GoogleCrashHandler64","0","154","4384641024","1101824","1691648","8784","C:\Program Files (x86)\Google\Update\1.3.36.82\GoogleCrashHandler64.exe","Google LLC","0.0625","1.3.36.81","1.3.36.81","Google Crash Handler","Google Update","Process","4",,"False",,"7116","Microsoft.Win32.SafeHandles.SafeProcessHandle","154","9100",".","0","","System.Diagnostics.ProcessModule (GoogleCrashHandler64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8784","8784","1691648","1691648","104992","104992","1781760","1781760","7229440","7229440","92819456","4387786752","True","Idle","1691648","1691648","00:00:00.0625000","GoogleCrashHandler64","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:02",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00","89673728","4384641024","False",,,,"1101824","1101824",,
"hidfind","1","106","4388597760","2048000","1363968","8152","C:\WINDOWS\system32\DellTPad\HidFind.exe","Alps Electric Co., Ltd.","0.140625","8, 1, 0, 139","8, 1, 0, 139","Alps Pointing-device Driver","Alps Pointing-device Driver","Process","8",,"False",,"6312","Microsoft.Win32.SafeHandles.SafeProcessHandle","106","8628",".","0","","System.Diagnostics.ProcessModule (HidFind.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8152","8152","1363968","1363968","114880","114880","1388544","1388544","6430720","6430720","107536384","4402503680","True","Normal","1363968","1363968","00:00:00.1093750","hidfind","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:01",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00.0312500","93630464","4388597760","False",,,,"2048000","2048000",,
"HidMonitorSvc","0","112","4370956288","1671168","1417216","7872","C:\WINDOWS\system32\DellTPad\HidMonitorSvc.exe","Alps Electric Co., Ltd.","0.125","8.1.3.144","8.1.3.144","HidMonitorSvc Application","HidMonitorSvc Application","Process","8",,"False",,"7152","Microsoft.Win32.SafeHandles.SafeProcessHandle","112","4872",".","0","","System.Diagnostics.ProcessModule (HidMonitorSvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7872","7872","1417216","1417216","80296","80296","1425408","1425408","6438912","6438912","84844544","4379811840","True","Normal","1417216","1417216","00:00:00.0937500","HidMonitorSvc","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0312500","75988992","4370956288","False",,,,"1671168","1671168",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","12288","12288","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"igfxCUIService","0","184","2203400384512","2965504","2097152","10392","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_28efa2cb508b2ae9\igfxCUIService.exe","Intel Corporation","0.109375","6.15.100.9126","6.15.100.9126","igfxCUIService Module","Intel(R) Common User Interface","Process","8",,"False",,"7160","Microsoft.Win32.SafeHandles.SafeProcessHandle","184","3164",".","0","","System.Diagnostics.ProcessModule (igfxCUIService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10392","10392","2097152","2097152","92720","92720","2228224","2228224","9793536","9793536","93749248","2203411972096","True","Normal","2097152","2097152","00:00:00.0468750","igfxCUIService","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:25",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0625000","82161664","2203400384512","False",,,,"2965504","2965504",,
"igfxEM","1","468","2203454816256","5439488","4038656","15352","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_28efa2cb508b2ae9\igfxEM.exe","Intel Corporation","0.828125","6.15.100.9126","6.15.100.9126","igfxEM Module","Intel(R) Common User Interface","Process","8",,"False",,"6952","Microsoft.Win32.SafeHandles.SafeProcessHandle","468","6352",".","0","","System.Diagnostics.ProcessModule (igfxEM.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15352","15352","4038656","4038656","198760","198760","4358144","4358144","14942208","14942208","143929344","2203462152192","True","Normal","4038656","4038656","00:00:00.5781250","igfxEM","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:01",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8281250","00:00:00.2500000","136593408","2203454816256","False",,,,"5439488","5439488",,
"IntelAudioService","0","550","4967944192","10207232","27934720","24176","C:\WINDOWS\system32\cAVS\Intel(R) Audio Service\IntelAudioService.exe","Intel","1.265625","01.00.1236.00","01.00.1236.00","IntelAudioService","IntelAudioService","Process","8",,"False",,"6388","Microsoft.Win32.SafeHandles.SafeProcessHandle","550","5084",".","0","","System.Diagnostics.ProcessModule (IntelAudioService.exe)","5652480","819200","System.Diagnostics.ProcessModuleCollection","24176","24176","27934720","27934720","400072","400072","28262400","28262400","31711232","31711232","717946880","5012914176","True","Normal","27934720","27934720","00:00:00.5781250","IntelAudioService","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:00:01.2656250","00:00:00.6875000","672976896","4967944192","False",,,,"10207232","10207232",,
"IntelCpHDCPSvc","0","150","2203395817472","1658880","1544192","8488","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_e6610765cda2bce8\IntelCpHDCPSvc.exe","Intel Corporation","0.015625","25.20.100.9126","25.20.100.9126","Intel HD Graphics Drivers for Windows(R)","Intel HD Graphics Drivers for Windows(R)","Process","8",,"False",,"6340","Microsoft.Win32.SafeHandles.SafeProcessHandle","150","1672",".","0","","System.Diagnostics.ProcessModule (IntelCpHDCPSvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8488","8488","1544192","1544192","85928","85928","1728512","1728512","8024064","8024064","84987904","2203403210752","True","Normal","1544192","1544192","00:00:00","IntelCpHDCPSvc","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:24",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00.0156250","77594624","2203395817472","False",,,,"1658880","1658880",,
"IntelCpHeciSvc","0","138","2203389775872","2007040","1572864","7672","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_e6610765cda2bce8\IntelCpHeciSvc.exe","","0.09375","","","","","Process","8",,"False",,"7036","Microsoft.Win32.SafeHandles.SafeProcessHandle","138","2388",".","0","","System.Diagnostics.ProcessModule (IntelCpHeciSvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7672","7672","1572864","1572864","71552","71552","1728512","1728512","7659520","7659520","79941632","2203398164480","True","Normal","1572864","1572864","00:00:00.0937500","IntelCpHeciSvc","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:24",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00","71553024","2203389775872","False",,,,"2007040","2007040",,
"jhi_service","0","131","4359467008","1093632","1171456","7376","C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_0b214be229a13e84\jhi_service.exe","Intel Corporation","0","1.37.2020.0426","1.37.2020.0426","Intel(R) Dynamic Application Loader Host Interface","Intel(R) Dynamic Application Loader Host Interface","Process","8",,"False",,"6908","Microsoft.Win32.SafeHandles.SafeProcessHandle","131","5100",".","0","","System.Diagnostics.ProcessModule (jhi_service.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7376","7376","1171456","1171456","56768","56768","1310720","1310720","5910528","5910528","69742592","4364709888","True","Normal","1171456","1171456","00:00:00","jhi_service","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","64499712","4359467008","False",,,,"1093632","1093632",,
"LMS","0","241","78368768","3387392","3002368","11120","C:\WINDOWS\System32\DriverStore\FileRepository\lms.inf_amd64_c0fd909ca6e7d672\LMS.exe","Intel Corporation","0.078125","2036.15.0.1832","2036.15.0.1832","Intel(R) Local Management Service","Intel(R) Management and Security Application Local Management Service","Process","8",,"False",,"7120","Microsoft.Win32.SafeHandles.SafeProcessHandle","241","4776",".","0","","System.Diagnostics.ProcessModule (LMS.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11120","11120","3002368","3002368","89184","89184","3297280","3297280","10108928","10108928","86122496","86122496","True","Normal","3002368","3002368","00:00:00.0781250","LMS","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00","78368768","78368768","False",,,,"3387392","3387392",,
"LockApp","1","556","2203736559616","28536832","16461824","27288","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","Microsoft Corporation","3.0625","10.0.19041.844 (WinBuild.160101.0800)","10.0.19041.844","LockApp.exe","Microsoft? Windows? Operating System","Process","8",,"False",,"6772","Microsoft.Win32.SafeHandles.SafeProcessHandle","556","11936",".","0","","System.Diagnostics.ProcessModule (LockApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27288","27288","16461824","16461824","641816","641816","17846272","17846272","60813312","60813312","430370816","2203748593664","True","Normal","16461824","16461824","00:00:00.8906250","LockApp","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:35:25",,"System.Diagnostics.ProcessThreadCollection","00:00:03.0625000","00:00:02.1718750","418336768","2203736559616","False",,,,"28536832","28536832",,
"lsass","0","2083","2203426435072","20819968","11587584","34312","C:\WINDOWS\system32\lsass.exe","Microsoft Corporation","65.5625","10.0.19041.906 (WinBuild.160101.0800)","10.0.19041.906","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"7040","Microsoft.Win32.SafeHandles.SafeProcessHandle","2083","944",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34312","34312","11587584","11587584","190120","190120","12107776","12107776","23691264","23691264","111362048","2203429584896","True","Normal","11587584","11587584","00:00:24.6250000","lsass","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:24",,"System.Diagnostics.ProcessThreadCollection","00:01:05.5625000","00:00:40.9375000","108212224","2203426435072","False",,,,"20819968","20819968",,
"Memory Compression","0","0","837156864","803602432","2805760","0",,,"141.5625",,,,,"Process","8",,,,,,"0","2644",".","0","",,,,,"0","0","2805760","2805760","4224","4224","3035136","3035136","1445588992","1445588992","1515847680","1515847680",,,"2805760","2805760","00:02:21.5625000","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:25",,"System.Diagnostics.ProcessThreadCollection","00:02:21.5625000","00:00:00","837156864","837156864","False",,,,"803602432","803602432",,
"Microsoft.Photos","1","498","5245624320","57520128","24891392","38704","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2020.20120.4004.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","Microsoft Corporation","0.15625","2020.20120.4004.00000","2020.20120.400400000","Microsoft.Photos.exe","Microsoft Photos","Process","8",,"False",,"6780","Microsoft.Win32.SafeHandles.SafeProcessHandle","498","480",".","0","","System.Diagnostics.ProcessModule (Microsoft.Photos.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","38704","38704","24891392","24891392","795216","795216","26038272","26038272","74010624","74010624","953802752","5248770048","True","Normal","24891392","24891392","00:00:00.1093750","Microsoft.Photos","255","True","1","System.Diagnostics.ProcessStartInfo","03-06-2021 10:46:07",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0468750","950657024","5245624320","False",,,,"57520128","57520128",,
"MobileConnectVpnPluginApp","1","441","4653031424","29749248","9764864","21440","C:\Program Files\WindowsApps\SonicWALL.MobileConnect_5.0.5.0_x64__e5kpm93dbe93j\MobileConnectVpnPluginApp.exe","SonicWall Inc.","0.15625","5.0.5.0","5.0.5.0 Build 505","SonicWall Mobile Connect","SonicWall Mobile Connect","Process","8",,"False",,"6216","Microsoft.Win32.SafeHandles.SafeProcessHandle","441","14920",".","0","","System.Diagnostics.ProcessModule (MobileConnectVpnPluginApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21440","21440","9764864","9764864","466936","466936","9900032","9900032","38244352","38244352","363532288","4658499584","True","Normal","9764864","9764864","00:00:00.0781250","MobileConnectVpnPluginApp","255","True","1","System.Diagnostics.ProcessStartInfo","02-06-2021 09:14:28",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0781250","358064128","4653031424","False",,,,"29749248","29749248",,
"MoUsoCoreWorker","0","395","2204021112832","473075712","589369344","44168","C:\Windows\System32\mousocoreworker.exe","Microsoft Corporation","47.09375","10.0.19041.964 (WinBuild.160101.0800)","10.0.19041.964","MoUSO Core Worker Process","Microsoft? Windows? Operating System","Process","8",,"False",,"7004","Microsoft.Win32.SafeHandles.SafeProcessHandle","395","17108",".","0","","System.Diagnostics.ProcessModule (mousocoreworker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","44168","44168","589369344","589369344","152528","152528","601894912","601894912","485142528","485142528","717385728","2204035608576","True","Normal","589369344","589369344","00:00:24.5312500","MoUsoCoreWorker","255","True","0","System.Diagnostics.ProcessStartInfo","01-06-2021 14:21:28",,"System.Diagnostics.ProcessThreadCollection","00:00:47.0937500","00:00:22.5625000","702889984","2204021112832","False",,,,"473075712","473075712",,
"MsMpEng","0","1173","2205641695232","355246080","546611200","102896",,,"2189.734375",,,,,"Process","8",,,,,,"1173","5440",".","0","",,,,,"102896","102896","546611200","546611200","874768","874768","-2066792448","2228174848","1128214528","1128214528","-1567924224","2206045265920",,,"546611200","546611200","00:06:10.7812500","MsMpEng",,"True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:36:29.7343750","00:30:18.9531250","-1971494912","2205641695232","False",,,,"355246080","355246080",,
"NisSrv","0","208","2203415547904","3641344","4014080","11368",,,"0.609375",,,,,"Process","8",,,,,,"208","7220",".","0","",,,,,"11368","11368","4014080","4014080","117520","117520","5300224","5300224","11145216","11145216","104697856","2203422920704",,,"4014080","4014080","00:00:00.2343750","NisSrv",,"True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:29",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6093750","00:00:00.3750000","97325056","2203415547904","False",,,,"3641344","3641344",,
"notepad","1","283","2203483394048","18395136","3465216","15344","C:\WINDOWS\system32\NOTEPAD.EXE","Microsoft Corporation","8.359375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Notepad","Microsoft? Windows? Operating System","Process","8",,"False",,"6684","Microsoft.Win32.SafeHandles.SafeProcessHandle","283","2756",".","263120","*Powershell commands - Notepad","System.Diagnostics.ProcessModule (NOTEPAD.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15344","15344","3465216","3465216","244776","244776","3870720","3870720","19243008","19243008","176357376","2203494580224","True","Normal","3465216","3465216","00:00:06.2968750","notepad","255","True","1","System.Diagnostics.ProcessStartInfo","02-06-2021 16:14:55",,"System.Diagnostics.ProcessThreadCollection","00:00:08.3593750","00:00:02.0625000","165171200","2203483394048","False",,,,"18395136","18395136",,
"OfficeClickToRun","0","882","2203599085568","27906048","39153664","29312","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe","Microsoft Corporation","22.3125","16.0.14026.20228","16.0.14026.20228","Microsoft Office Click-to-Run (SxS)","Microsoft Office","Process","8",,"False",,"6420","Microsoft.Win32.SafeHandles.SafeProcessHandle","882","4940",".","0","","System.Diagnostics.ProcessModule (OfficeClickToRun.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","29312","29312","39153664","39153664","318112","318112","67829760","67829760","95404032","95404032","370085888","2203688308736","True","Normal","39153664","39153664","00:00:14.1093750","OfficeClickToRun","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:00:22.3125000","00:00:08.2031250","280862720","2203599085568","False",,,,"27906048","27906048",,
"OneApp.IGCC.WinService","0","732","5002489856","11493376","42045440","33032","C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_70e7e4392a76adb3\OneApp.IGCC.WinService.exe","Intel Corporation","4.671875","1.0.2669.0","1.0.2669.0","Intel? Graphics Command Center Service","IGCC Service","Process","8",,"False",,"6264","Microsoft.Win32.SafeHandles.SafeProcessHandle","732","4968",".","0","","System.Diagnostics.ProcessModule (OneApp.IGCC.WinService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33032","33032","42045440","42045440","462784","462784","43724800","43724800","60837888","60837888","742584320","5037551616","True","Normal","42045440","42045440","00:00:02.6093750","OneApp.IGCC.WinService","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:00:04.6718750","00:00:02.0625000","707522560","5002489856","False",,,,"11493376","11493376",,
"OneDrive","1","846","321388544","37892096","38522880","51056","C:\Users\ambatikalyan.NAGARRO\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Microsoft Corporation","26.609375","21.083.0425.0003","21.083.0425.0003","Microsoft OneDrive","Microsoft OneDrive","Process","8",,"False",,"6408","Microsoft.Win32.SafeHandles.SafeProcessHandle","846","10148",".","0","","System.Diagnostics.ProcessModule (OneDrive.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","51056","51056","38522880","38522880","398728","398728","64524288","64524288","81674240","81674240","351121408","351121408","True","Normal","38522880","38522880","00:00:13.3125000","OneDrive","255","True","1","System.Diagnostics.ProcessStartInfo","31-05-2021 20:22:16",,"System.Diagnostics.ProcessThreadCollection","00:00:26.6093750","00:00:13.2968750","321388544","321388544","False",,,,"37892096","37892096",,
"OUTLOOK","1","4403","2209413271552","230719488","243441664","123392","C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE","Microsoft Corporation","155.125","16.0.14026.20246","16.0.14026.20246","Microsoft Outlook","Microsoft Outlook","Process","8",,"False",,"6692","Microsoft.Win32.SafeHandles.SafeProcessHandle","4403","6868",".","1116048","Inbox - ambati.kalyan@nagarro.com - Outlook","System.Diagnostics.ProcessModule (OUTLOOK.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","123392","123392","243441664","243441664","2223552","2223552","340692992","340692992","428511232","428511232","1638072320","2213546229760","True","Normal","243441664","243441664","00:00:48.7812500","OUTLOOK","255","True","1","System.Diagnostics.ProcessStartInfo","01-06-2021 17:16:14",,"System.Diagnostics.ProcessThreadCollection","00:02:35.1250000","00:01:46.3437500","1800081408","2209413271552","False",,,,"230719488","230719488",,
"powershell_ise","1","1439","5527859200","233672704","191332352","62640","C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","Microsoft Corporation","12.984375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows PowerShell ISE","Microsoft? Windows? Operating System","Process","8",,"False",,"6524","Microsoft.Win32.SafeHandles.SafeProcessHandle","1439","16312",".","462126","Administrator: Windows PowerShell ISE","System.Diagnostics.ProcessModule (PowerShell_ISE.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","62640","62640","191332352","191332352","1141960","1141960","208924672","208924672","243662848","243662848","1323085824","5618053120","True","Normal","191332352","191332352","00:00:04","powershell_ise","255","True","1","System.Diagnostics.ProcessStartInfo","03-06-2021 14:43:18",,"System.Diagnostics.ProcessThreadCollection","00:00:12.9843750","00:00:08.9843750","1232891904","5527859200","False",,,,"233672704","233672704",,
"Registry","0","0","207179776","139636736","10444800","23120",,,"4.6875",,,,,"Process","8",,,,,,"0","124",".","0","",,,,,"23120","23120","10444800","10444800","408872","408872","65777664","65777664","198307840","198307840","267800576","267800576",,,"10444800","10444800","00:00:04.6875000","Registry",,"True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:16",,"System.Diagnostics.ProcessThreadCollection","00:00:04.6875000","00:00:00","207179776","207179776","False",,,,"139636736","139636736",,
"RstMwService","0","156","4377243648","1318912","1609728","8760","C:\WINDOWS\System32\DriverStore\FileRepository\iastorac.inf_amd64_ecb9604542bb4ba6\RstMwService.exe","Intel Corporation","0.03125","17.5.3.1026","17.5.3.1026","Intel(R) Rapid Storage Technology Management Service","Intel(R) Rapid Storage Technology Management Service","Process","8",,"False",,"7124","Microsoft.Win32.SafeHandles.SafeProcessHandle","156","5300",".","0","","System.Diagnostics.ProcessModule (RstMwService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8760","8760","1609728","1609728","87360","87360","2043904","2043904","8003584","8003584","87519232","4382486528","True","Normal","1609728","1609728","00:00:00.0156250","RstMwService","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00.0156250","82276352","4377243648","False",,,,"1318912","1318912",,
"RtkAudUService64","0","356","4411211776","4997120","4341760","13624","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_c759ff49aef8a7cf\RtkAudUService64.exe","Realtek Semiconductor","0.5625","1.0.331.1","1.0.331.1","Realtek HD Audio Universal Service","Realtek HD Audio Universal Service","Process","8",,"False",,"6396","Microsoft.Win32.SafeHandles.SafeProcessHandle","356","5236",".","0","","System.Diagnostics.ProcessModule (RtkAudUService64.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13624","13624","4341760","4341760","155488","155488","4763648","4763648","13066240","13066240","123580416","4418547712","True","Normal","4341760","4341760","00:00:00.3437500","RtkAudUService64","255","True","0","System.Diagnostics.ProcessStartInfo","31-05-2021 20:21:26",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5625000","00:00:00.2187500","116244480","4411211776","False",,,,"4997120","4997120",,
